name	pubchem_id	formula	neutral_mass	mz	mz_threshold	adducts	rt_max	rt_min	rt_peak
(pyruvate)		C3H4O3	88.01604399	87.00767037	15	H-	15.4	14.85	15.05
alanine		C3H7NO2	89.04767847	88.03930486	15	H-	12	11.55	11.75
beta-alanine		C3H7NO2	89.04767847	88.03930486	15	H-	14.85	13.95	14.4
lactate		C3H6O3	90.03169405	89.02332044	15	H-	8.7	7.9	8.05
4-aminobuyrate		C4H9NO2	103.0633285	102.0549549	15	H-	12.38	11.9	12.12
serine		C3H7NO3	105.0425931	104.0342195	15	H-	13.65	13.05	13.3
cytosine		C4H5N3O	111.0432618	110.0348882	15	H-	7.2	6.6	6.95
uracil		C4H4N2O2	112.0272774	111.0189038	15	H-	3.8	3.3	3.5
proline		C5H9NO2	115.0633285	114.0549549	15	H-	9.69	9	9.32
fumarate		C4H4O4	116.0109586	115.002585	15	H-	16.3	15.7	16
valine		C5H11NO2	117.0789786	116.070605	15	H-	9.82	9.35	9.58
succinate		C4H6O4	118.0266087	117.0182351	15	H-	14.19	13.65	13.85
threonine		C4H9NO3	119.0582432	118.0498695	15	H-	12.2	11.8	12
niacin		C6H5NO2	123.0320284	122.0236548	15	H-	7.12	6.52	6.82
thymine		C5H6N2O2	126.0429274	125.0345538	15	H-	3.22	2.73	2.93
pyroglutamate		C5H7NO3	129.0425931	128.0342195	15	H-	10.1	9.5	9.75
leucine		C6H13NO2	131.0946287	130.0862551	15	H-	8.7	8.33	8.5
isoleucine		C6H13NO2	131.0946287	130.0862551	15	H-	8.3	7.9	8.08
asparagine		C4H8N2O3	132.0534921	131.0451185	15	H-	13.55	12.95	13.23
ornithine		C5H12N2O2	132.0898776	131.081504	15	H-	13.85	13.25	13.55
aspartate		C4H7NO4	133.0375077	132.0291341	15	H-	14.4	14	14.2
adenine		C5H5N5	135.0544952	134.0461216	15	H-	5.65	4.9	5.2
hypoxanthine		C5H4N4O	136.0385108	135.0301372	15	H-	6.27	5.6	5.92
salicylate		C7H6O3	138.0316941	137.0233204	15	H-	3.05	2.75	2.8
5-hydroxymethyluracil		C5H6N2O3	142.0378421	141.0294685	15	H-	5.73	5.15	5.45
alpha-ketoglutarate		C5H6O5	146.0215233	145.0131497	15	H-	15.85	15	15.4
glutamine		C5H10N2O3	146.0691422	145.0607686	15	H-	13.05	12.55	12.75
glutamate		C5H9NO4	147.0531578	146.0447842	15	H-	14.32	13.65	13.95
methionine		C5H11NO2S	149.0510496	148.042676	15	H-	9.4	8.9	9.15
guanine		C5H5N5O	151.0494098	150.0410362	15	H-	8.87	8	8.42
xanthine		C5H4N4O2	152.0334254	151.0250518	15	H-	7.4	6.65	6.9
xylitol		C5H12O5	152.0684735	151.0600999	15	H-	8.7	8.25	8.5
phenylalaine		C9H11NO2	165.0789786	164.070605	15	H-	8.55	7.85	8.15
uric acid		C5H4N4O3	168.02834	167.0199664	15	H-	12.25	11.55	11.9
(pyridoxine)		C8H11NO3	169.0738932	168.0655196	15	H-	3.5	2.95	3.15
citrulline		C6H13N3O3	175.0956913	174.0873177	15	H-	14.07	13.27	13.57
"monosaccharides (fructose, mannose, glucose, galactose, inositols)"		C6H12O6	180.0633881	179.0550145	15	H-	12.45	9.35	11
tyrosine		C9H11NO3	181.0738932	180.0655196	15	H-	10.94	10.28	10.6
mannitol		C6H14O6	182.0790382	181.0706646	15	H-	10.5	9.85	10.2
(acetylglutamate)		C7H11NO5	189.0637225	188.0553488	15	H-	14.7	14.15	14.35
(tryptophan)		C11H12N2O2	204.0898776	203.081504	15	H-	9.6	8.85	9.15
N-acetyl-L-phenylalanine		C11H13NO3	207.0895433	206.0811697	15	H-	4.75	4	4.3
2'-deoxyuridine		C9H12N2O5	228.0746215	227.0662479	15	H-	4.05	3.45	3.75
thymidine		C10H14N2O5	242.0902716	241.0818979	15	H-	3.26	2.8	3.02
cytidine		C9H13N3O5	243.0855205	242.0771469	15	H-	8.55	7.95	8.25
uridine		C9H12N2O6	244.0695361	243.0611625	15	H-	6	5.4	5.75
(glycerophosphocholine)		C8H20NO6P	257.102824	316.1167	15	M+Hac-H-	12.35	11.72	12
adenosine		C10H13N5O4	267.0967539	266.0883803	15	H-	5.6	4.9	5.2
2'-deoxyguanosine		C10H13N5O4	267.0967539	266.0883803	15	H-	8.1	7.5	7.83
inosine		C10H12N4O5	268.0807695	267.0723959	15	H-	7.78	7.17	7.42
guanosine		C10H13N5O5	283.0916685	282.0832949	15	H-	9.6	9.1	9.3
galactinol		C12H22O11	342.1162115	341.1078379	15	H-	16	15.5	15.75
"disaccharide 1 (sucrose, maltose, trehalose, cellobiose, lactose, etc)"		C12H22O11	342.1162115	341.1083865	15	H-	12.72	12.02	12.25
"disaccharide 2 (sucrose, maltose, trehalose, cellobiose, lactose, etc)"		C12H22O11	342.1162115	341.1083865	15	H-	13.85	13.2	13.5
trisacharide (raffinose)		C18H32O16	504.1690349	503.1606613	15	H-	14.45	14.05	14.3
maltotetraose		C24H42O21	666.2218584	665.2134848	15	H-	15	14.5	14.8
stachyose		C24H42O21	666.2218584	665.2134848	15	H-	16.61	16.06	16.31
