name	pubchem_id	formula	neutral_mass	mz	mz_threshold	adducts	rt_max	rt_min	rt_peak
creatinine		C4H7N3O	113.05891190	114.06618830	15	H+	5.85	5.20	5.50
proline		C5H9NO2	115.06332850	116.07060500	15	H+	9.69	9.00	9.35
betaine		C5H11NO2	117.07897860	118.08625510	15	H+	7.65	6.95	7.35
nicotinamide		C6H6N2O	122.04801280	123.05528930	15	H+	2.93	2.78	2.85
adenine		C5H5N5	135.05449520	136.06177160	15	H+	5.65	4.75	5.20
hypoxanthine		C5H4N4O	136.03851080	137.04578720	15	H+	6.25	5.54	5.92
ectoine		C6H10N2O2	142.07422760	143.08150400	15	H+	10.36	9.81	10.01
y-guanidinobutyrate		C5H11N3O2	145.08512660	146.09240310	15	H+	12.58	11.68	12.08
glutamine		C5H10N2O3	146.06914220	147.07641860	15	H+	13.05	12.55	12.75
guanine		C5H5N5O	151.04940980	152.05668630	15	H+	8.77	8.15	8.42
phenylalanine		C9H11NO2	165.07897860	166.08625510	15	H+	8.60	7.70	8.10
(pyridoxine)		C8H11NO3	169.07389320	170.08116970	15	H+	3.60	2.90	3.20
"monosaccharides (fructose, mannose, glucose, galactose, inositols)"		C6H12O6	180.06338810	203.05260880	15	Na+	12.40	9.45	11.00
tyrosine		C9H11NO3	181.07389320	182.08116970	15	H+	10.90	10.30	10.62
tryptophan		C11H12N2O2	204.08987760	205.09715410	15	H+	9.68	8.70	9.12
uridine		C9H12N2O6	244.06953610	113.03530000	15	Frag	6.00	5.34	5.70
(glycerophosphocholine)		C8H20NO6P	257.10282400	258.11010050	15	H+	12.45	11.72	12.00
adenosine		C10H13N5O4	267.09675390	268.10403040	15	H+	5.75	4.90	5.30
guanosine		C10H13N5O5	283.09166850	284.09894500	15	H+	9.70	8.90	9.35
(cAMP)		C10H12N5O6P	329.05251980	330.05979620	15	H+	10.10	9.45	9.70
"disaccharide 1 (sucrose, maltose, trehalose, cellobiose, lactose, etc)"		C12H22O11	342.11621150	365.10543220	15	Na+	12.72	12.02	12.25
"disaccharide 2 (sucrose, maltose, trehalose, cellobiose, lactose, etc)"		C12H22O11	342.11621150	365.10543220	15	Na+	13.85	13.20	13.50
