polarity	name	chemical formula	neutral mass	rt (min)	protocol	file	group	area	height	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Ext Blank_2.mzML	M94_bla	1467.46	250.33	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Ext Blank_3.mzML	M94_bla	1999.923	310.821	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Ext Blank_1.mzML	M94_bla	4115.199	431.474	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Control.mzML	M94_ctr	6776.786	506.181	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Control.mzML	M94_ctr	5766.217	467.279	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Control.mzML	M94_ctr	10342.156	630.744	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_1.mzML	M94_I01	8333.773	614.21	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_1.mzML	M94_I01	7745.336	631.349	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_1.mzML	M94_I01	3873.29	295.356	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_2.mzML	M94_I02	7794.169	537.928	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_2.mzML	M94_I02	584139.455	11674.095	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_2.mzML	M94_I02	8150.731	660.371	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_3.mzML	M94_I03	7189.594	443.572	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_3.mzML	M94_I03	2518.551	229.955	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_3.mzML	M94_I03	2025.018	356.283	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_4.mzML	M94_I04	21059.957	1060.976	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_4.mzML	M94_I04	11757.539	608.524	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_4.mzML	M94_I04	7718.696	691.803	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_5.mzML	M94_I05	7794.739	565.212	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_5.mzML	M94_I05	4259.16	718.912	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_5.mzML	M94_I05	4729.067	414.013	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_6.mzML	M94_I06	3994.297	296.546	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_6.mzML	M94_I06	3215.689	380.543	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_6.mzML	M94_I06	6763.522	516.496	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_7.mzML	M94_I07	9335.971	610.981	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_7.mzML	M94_I07	10401.059	764.25	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_7.mzML	M94_I07	3701.593	436.62	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_8.mzML	M94_I08	9887.088	676.882	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_8.mzML	M94_I08	8406.406	816.258	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_8.mzML	M94_I08	6742.03	397.446	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_9.mzML	M94_I09	759749.915	14701.634	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep2 Isolate_9.mzML	M94_I09	1424867.356	22562.375	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep3 Isolate_9.mzML	M94_I09	452770.345	9527.615	
neg	(pyruvate)	C3H4O3	88.01604399	15.05	WoM	140714 Neg M94 Rep1 Isolate_10.mzML	M94_I10	11614.169	899.642	
