polarity	name	chemical formula	neutral mass	rt (min)	protocol	file	group	area	height	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Ext Blank_2.mzML	M94_bla	14467.168	763.392	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Ext Blank_3.mzML	M94_bla	10767.76	745.662	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Ext Blank_1C Rerun.mzML	M94_bla	9708.571	695.455	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Control B Rerun.mzML	M94_ctr	25750.999	1728.587	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Control.mzML	M94_ctr	14178.249	817.48	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Control.mzML	M94_ctr	13268.598	1093.69	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_1 B Rerun.mzML	M94_I01	69000.457	4796.907	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_1.mzML	M94_I01	135380.698	13024.304	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_1.mzML	M94_I01	334151.228	11411.553	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_2 B Rerun.mzML	M94_I02	194521.263	6416.8	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_2.mzML	M94_I02	34004.801	3309.822	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_2.mzML	M94_I02	136536.183	9976.642	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_3 B Rerun.mzML	M94_I03	22650.528	1567.233	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_3.mzML	M94_I03	164762.827	5138.282	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_3.mzML	M94_I03	15417.311	1041.321	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_4 B Rerun.mzML	M94_I04	218237.339	5839.676	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_4.mzML	M94_I04	257936.815	11837.263	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_4.mzML	M94_I04	199764.889	13266.545	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_5 B Rerun.mzML	M94_I05	414090.427	11621.767	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_5.mzML	M94_I05	532271.284	17822.35	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_5.mzML	M94_I05	219553.134	7271.91	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_6 B Rerun.mzML	M94_I06	467917.687	15814.953	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_6.mzML	M94_I06	84299.212	4526.898	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_6.mzML	M94_I06	302694.154	9697.13	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_7 B Rerun.mzML	M94_I07	40791.13	2782.084	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_7.mzML	M94_I07	140135.336	4753.966	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_7.mzML	M94_I07	258647.004	9584.643	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_8 B Rerun.mzML	M94_I08	220526.813	13988.135	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_8.mzML	M94_I08	226537.58	9468.184	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_8.mzML	M94_I08	254812.47	11118.325	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_9 B Rerun.mzML	M94_I09	112539.284	6064.722	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_9.mzML	M94_I09	60480.744	9240.412	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_9.mzML	M94_I09	71940.879	4072.009	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep1 Isolate_10 B Rerun.mzML	M94_I10	39160.571	2265.251	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep2 Isolate_10.mzML	M94_I10	25485.018	1403.022	
pos	creatinine	C4H7N3O	113.05891190	5.50	WoM	140711 M94 Rep3 Isolate_10.mzML	M94_I10	24012.708	1332.001	
