	rt (min)		(+)	(-)	neutral mass	formula	name		area	polarity	group	group
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_C_1	183	neg	Min_C	Min_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_C_2	158	neg	Min_C	Min_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_C_3	161	neg	Min_C	Min_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_C_4	127	neg	Min_C	Min_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_S_1	7727	neg	Min_S	Min_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_S_2	10714	neg	Min_S	Min_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_S_3	9057	neg	Min_S	Min_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		Min_S_4	10503	neg	Min_S	Min_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_C_1	6458	neg	MEBM_C	MEBM_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_C_2	3922	neg	MEBM_C	MEBM_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_C_3	5083	neg	MEBM_C	MEBM_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_C_4	3649	neg	MEBM_C	MEBM_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_S_1	14827	neg	MEBM_S	MEBM_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_S_2	18974	neg	MEBM_S	MEBM_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_S_3	17550	neg	MEBM_S	MEBM_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		MEBM_S_4	16474	neg	MEBM_S	MEBM_Syn
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		YE_C_1	202222	neg	YE_C	YE_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		YE_C_2	183186	neg	YE_C	YE_Ctr
1	4.79	0.02		144.0454	145.0527	(C9H7NO)		YE_C_3	158197	neg	YE_C	YE_Ctr
