name	chemical formula	neutral mass	rt (min)	protocol	assertion value	assertion confidence	
((Ala or beta-Ala or sarcosine)-Arg)	C9H19N5O3	245.1494	24.52	10.1039/c1mb05196b	ND		
((Ala or sarcosine)-Lys)	C9H19N3O3	217.1423	27.03	10.1039/c1mb05196b	ND		
((Leu or Ile)-Arg)	C12H25N5O3	287.1958	20.28	10.1039/c1mb05196b	ND		
((Leu or Ile)-Lys)	C12H25N3O3	259.1894	21.88	10.1039/c1mb05196b	ND		
((methyl or homo)phenylalanine)	C10H13NO2	179.0947	13.12	10.1039/c1mb05196b	E	5	
(2hexoses + glycerol minus 2H2O)	C15H28O13	416.153	19.39	10.1039/c1mb05196b	ND		
(2hexoses minus H2O)	C12H22O11	342.1177	18.9	10.1039/c1mb05196b	N	1	
(4-aminobutyric acid)	C4H9NO2	103.0633	20.49	10.1039/c1mb05196b	ND		
(C3H7NO2+Lys-H2O)	C9H19N3O3	217.1424	26.23	10.1039/c1mb05196b	ND		
(C4H9NO3+Arg-H2O)	C10H21N5O4	275.1595	22.41	10.1039/c1mb05196b	ND		
(C4H9NO3+Lys-H2O)	C10H21N3O4	247.1523	23.41	10.1039/c1mb05196b	ND		
(C5H11NO2+Lys-H2O)	C11H23N3O3	245.1739	23.35	10.1039/c1mb05196b	ND		
(C5H7NO3 + (Leu or Ile) minus H2O)	C11H18N2O4	242.1264	14.36	10.1039/c1mb05196b	ND		
(C5H7NO3 + Phe minus H2O)	C14H16N2O4	276.1115	14.23	10.1039/c1mb05196b	ND		
(dimethyladenosine)	C12H17N5O4	295.1287	6.77	10.1039/c1mb05196b	E	5	
(glycine)	(C2H5NO2)	75.0320284	20.79	10.1039/c1mb05196b	N	1	
(hexos(amine) trisaccharide)	C25H40N2O18	656.2283	19.07	10.1039/c1mb05196b	E	5	
(hexose-Lys)	(C12H24N2O7)	308.1587	31.95	10.1039/c1mb05196b	ND		
(histidine betaine sulfonic acid)	C9H15N3O5S	277.0748	20.22	10.1039/c1mb05196b	ND		
(hydroxytryptophan)	C11H12N2O3	220.0858	16.67	10.1039/c1mb05196b	ND		
(indole-3-acetaldehyde)	C10H9NO	159.0687	4.87	10.1039/c1mb05196b	ND		
(indole-3-acetamide)	C10H10N2O	174.0798	12.71	10.1039/c1mb05196b	ND		
(N-acetylornithine minus H2O)	C7H12N2O2	156.0898776	6.38	10.1039/c1mb05196b	ND		
(Phe-Arg)	C15H23N5O3	321.1784	19.43	10.1039/c1mb05196b	ND		
(Phe-Lys)	C15H23N3O3	293.1736	20.74	10.1039/c1mb05196b	ND		
(Phe-Pro)	C14H18N2O3	262.1315	14.37	10.1039/c1mb05196b	ND		
(purine)	C5H4N4	120.044	13.54	10.1039/c1mb05196b	ND		
(Ser-Lys)	C9H19N3O4	233.1372	24.32	10.1039/c1mb05196b	ND		
(trehalose)	C12H22O11	342.1162115	19.77	10.1039/c1mb05196b	ND		
(Tyr-Lys)	(C15H23N3O4)	309.168	23.16	10.1039/c1mb05196b	ND		
(Val-(Leu or Ile))	C11H22N2O3	230.1629	14.34	10.1039/c1mb05196b	ND		
(Val-Lys)	C11H23N3O3	245.1738	22.77	10.1039/c1mb05196b	ND		
(Val-Val)	C10H20N2O3	216.1374	15.29	10.1039/c1mb05196b	ND		
acetylglutamate	C7H11NO5	189.0645	20.03	10.1039/c1mb05196b	ND		
adenine	C5H5N5	135.0553	7.79	10.1039/c1mb05196b	ND		
adenosine	C10H13N5O4	267.0964	8.47	10.1039/c1mb05196b	ND		
alanine	C3H7NO2	89.0471	19.6	10.1039/c1mb05196b	E	5	
AMP	C10H14N5O7P	347.0639	20.71	10.1039/c1mb05196b	ND		
arginine	C6H14N4O2	174.1116	35.63	10.1039/c1mb05196b	ND		
asparagine	C4H8N2O3	132.0534921	21.09	10.1039/c1mb05196b	ND		
aspartate	C4H7NO4	133.0377	20.77	10.1039/c1mb05196b	ND		
betaine	C5H11NO2	117.0797	17.35	10.1039/c1mb05196b	N	1	
choline	C5H13NO	103.0996	14.61	10.1039/c1mb05196b	N	1	
cytidine	C9H13N3O5	243.0855205	14.74	10.1039/c1mb05196b	E	5	
cytosine	C4H5N3O	111.0431	9.55	10.1039/c1mb05196b	E	5	
gamma-Glu-Phe	C14H18N2O5	294.1228	18.74	10.1039/c1mb05196b	ND		
glucose	C6H12O6	180.0633	19.99	10.1039/c1mb05196b	ND		
glucosylglycerate	C9H16O9	268.0806	19.44	10.1039/c1mb05196b	ND		
glucosylglycerol	C9H18O8	254.101	16.71	10.1039/c1mb05196b	ND		
